ID	Variety	Variety_Rename	Maternal	Paternal	Time	N	E	ASI	DTA	DTS	PH	EH	EP	LL	LW	TL	TBN	LAL	LAU
65	Jidan28	Jidan28	Huangyesi3	Huotanghuang17	1994	118.24	39.62	2	56.3	58.3	265.3	112.1	42.3	93.6	10.34	40.2	16.2	164	19.4
66	Longdan13	Longdan13	K10	Longkang11	1994	126.63	45.69	3.3	54	57.3	303.4	124.1	40.9	96.8	10.11	42.3	18.6	156.3	29.7
67	Tiedan10	Tiedan10	C8605_2	Dan340	1994	123.82	42.25	0.8	60.8	61.5	321.7	140.2	43.5	100.2	10.1	38.9	15.4	161	21.4
68	Yedan20	Yedan20	Ye8001	Ye502	1994	120	37.19	3.5	56	59.5	285.2	126.7	44.4	91.8	10.2	36.6	19.6	169.2	11
69	Jidan159	Jidan159	Ji846	Dan340	1995	124.82	43.52	3	61	64	308.4	150.7	48.9	89.6	10.36	39	18.2	159.1	22.7
70	Jidan29	Jidan29	Ji53	8112	1995	114.45	38.06	1.5	57.8	59.3	288.3	131.1	45.5	82.6	11.41	38.5	19.3	165.3	16
71	Shandan911	Shandan911	K12	K14	1995	108.08	34.27	1.5	60.5	62	321.9	148.7	46.2	100.1	10.74	44.4	9.6	166.4	11.7
72	Sidan19	Sidan19	444	Mo17	1995	124.38	43.18	2.8	55	57.8	292.9	137	46.8	93.6	10.86	43.2	15.3	151	29.9
73	Simi21	Simi21	4112	Dan340	1995	124.38	43.18	0.8	58.8	59.5	309.9	146.8	47.4	90.6	10.69	37.9	13.1	166.8	17
74	Suyu9	Suyu9	Yan414	812	1995	120.64	32.14	1	57.5	58.5	301.5	140.9	46.7	85	11.53	36.1	12.4	163.5	20.6
75	Xiyu3	Xiyu3	478	Ye502	1995	120.01	37.36	2.5	58.3	60.8	290.1	123.4	42.5	92.3	10.35	33.7	19.3	170.9	10.2
