Type,value,sd,trait,treatment
S,-0.864042,0.609718,asv_000272,LN
ResVar,0.070346,0.033498,asv_000272,LN
GenVar,0.051831,0.03352,asv_000272,LN
hsq,0.423015,0.269378,asv_000272,LN
Pi,0.000908,0.001321,asv_000281,LN
NnzSnp,679.346619,989.421692,asv_000281,LN
SigmaSq,5e-06,9e-06,asv_000281,LN
S,-1.631102,0.629609,asv_000281,LN
ResVar,0.003075,0.001832,asv_000281,LN
GenVar,0.006992,0.001916,asv_000281,LN
hsq,0.693582,0.182211,asv_000281,LN
Pi,0.001467,0.001531,asv_000294,LN
NnzSnp,1097.864868,1145.878418,asv_000294,LN
SigmaSq,1e-06,2e-06,asv_000294,LN
S,0.174333,0.827027,asv_000294,LN
ResVar,0.003743,0.000464,asv_000294,LN
GenVar,0.000155,0.000279,asv_000294,LN
hsq,0.039839,0.070937,asv_000294,LN
Pi,0.001457,0.001493,asv_000311,LN
NnzSnp,1090.626709,1118.130615,asv_000311,LN
SigmaSq,0,1e-06,asv_000311,LN
S,0.00826,0.891774,asv_000311,LN
ResVar,0.002744,0.000445,asv_000311,LN
GenVar,0.000164,0.000355,asv_000311,LN
hsq,0.056441,0.120921,asv_000311,LN
Pi,0.003346,0.002161,asv_000322,LN
NnzSnp,2505.448242,1617.861816,asv_000322,LN
SigmaSq,1.2e-05,2e-05,asv_000322,LN
S,-0.530538,0.563606,asv_000322,LN
ResVar,0.003667,0.001778,asv_000322,LN
GenVar,0.005973,0.001863,asv_000322,LN
hsq,0.618292,0.184368,asv_000322,LN
Pi,0.003605,0.002254,asv_000330,LN
NnzSnp,2699.65332,1687.607666,asv_000330,LN
SigmaSq,2.8e-05,4.2e-05,asv_000330,LN
S,-0.101328,0.57576,asv_000330,LN
ResVar,0.010153,0.003496,asv_000330,LN
GenVar,0.007822,0.00358,asv_000330,LN
hsq,0.433444,0.191323,asv_000330,LN
Pi,0.00335,0.002004,asv_000341,LN
NnzSnp,2509.207031,1500.817383,asv_000341,LN
SigmaSq,3e-05,5e-05,asv_000341,LN
S,-0.182406,0.534671,asv_000341,LN
ResVar,0.00303,0.001518,asv_000341,LN
GenVar,0.007526,0.001652,asv_000341,LN
hsq,0.711813,0.145041,asv_000341,LN
Pi,0.002033,0.001713,asv_000369,LN
NnzSnp,1521.637451,1282.529419,asv_000369,LN
SigmaSq,1e-06,2e-06,asv_000369,LN
S,-0.246695,0.820517,asv_000369,LN
ResVar,0.003662,0.000886,asv_000369,LN
GenVar,0.000614,0.000814,asv_000369,LN
hsq,0.143371,0.188188,asv_000369,LN
Pi,0.002174,0.00201,asv_000396,LN
NnzSnp,1627.692383,1506.147949,asv_000396,LN
SigmaSq,1e-06,2e-06,asv_000396,LN
S,-0.890959,0.787926,asv_000396,LN
ResVar,0.001708,0.000867,asv_000396,LN
GenVar,0.001118,0.00086,asv_000396,LN
hsq,0.394873,0.300542,asv_000396,LN
Pi,0.002737,0.00195,asv_000406,LN
NnzSnp,2049.33252,1460.452881,asv_000406,LN
SigmaSq,7e-06,1e-05,asv_000406,LN
S,-0.932488,0.626868,asv_000406,LN
ResVar,0.007105,0.004444,asv_000406,LN
GenVar,0.009676,0.004493,asv_000406,LN
hsq,0.575617,0.262271,asv_000406,LN
Pi,0.003695,0.002315,asv_000431,LN
NnzSnp,2767.446777,1733.496582,asv_000431,LN
SigmaSq,4e-05,5.3e-05,asv_000431,LN
S,0.06641,0.549525,asv_000431,LN
ResVar,0.01231,0.003781,asv_000431,LN
GenVar,0.009174,0.003888,asv_000431,LN
hsq,0.425352,0.172717,asv_000431,LN
Pi,0.001296,0.00139,asv_000470,LN
NnzSnp,970.013794,1040.985596,asv_000470,LN
SigmaSq,8e-06,1.2e-05,asv_000470,LN
S,0.087161,0.82864,asv_000470,LN
ResVar,0.018923,0.002874,asv_000470,LN
GenVar,0.001385,0.002179,asv_000470,LN
hsq,0.068137,0.106163,asv_000470,LN
Pi,0.001759,0.001765,asv_000473,LN
NnzSnp,1316.722412,1321.507446,asv_000473,LN
SigmaSq,3e-06,5e-06,asv_000473,LN
S,-1.308742,0.609221,asv_000473,LN
ResVar,0.002831,0.002072,asv_000473,LN
GenVar,0.005508,0.002115,asv_000473,LN
hsq,0.65947,0.247822,asv_000473,LN
Pi,0.002753,0.002165,asv_000487,LN
NnzSnp,2061.320801,1621.297607,asv_000487,LN
SigmaSq,4e-06,7e-06,asv_000487,LN
S,-0.096455,0.725689,asv_000487,LN
ResVar,0.004773,0.001174,asv_000487,LN
GenVar,0.0012,0.001094,asv_000487,LN
hsq,0.200579,0.179681,asv_000487,LN
Pi,0.001343,0.001231,asv_000492,LN
NnzSnp,1004.996887,921.986328,asv_000492,LN
SigmaSq,4e-06,6e-06,asv_000492,LN
S,0.103335,0.87371,asv_000492,LN
ResVar,0.01423,0.002159,asv_000492,LN
GenVar,0.000937,0.001628,asv_000492,LN
hsq,0.0618,0.106664,asv_000492,LN
Pi,0.002299,0.001819,asv_000498,LN
NnzSnp,1721.425171,1361.64624,asv_000498,LN
SigmaSq,1.4e-05,2.4e-05,asv_000498,LN
S,0.028409,0.7322,asv_000498,LN
ResVar,0.013915,0.00302,asv_000498,LN
GenVar,0.002948,0.002721,asv_000498,LN
hsq,0.174712,0.159062,asv_000498,LN
Pi,0.001793,0.001792,asv_000511,LN
NnzSnp,1342.391968,1342.392212,asv_000511,LN
SigmaSq,0,1e-06,asv_000511,LN
S,-0.085245,0.939126,asv_000511,LN
ResVar,0.001051,0.000253,asv_000511,LN
GenVar,0.000148,0.00023,asv_000511,LN
hsq,0.123659,0.190791,asv_000511,LN
Pi,0.00345,0.002227,asv_000529,LN
NnzSnp,2583.299072,1668.016357,asv_000529,LN
SigmaSq,0.000342,0.000752,asv_000529,LN
S,-0.531097,0.684328,asv_000529,LN
ResVar,0.143681,0.078686,asv_000529,LN
GenVar,0.178141,0.079949,asv_000529,LN
hsq,0.552412,0.241889,asv_000529,LN
Pi,0.003335,0.0019,asv_000544,LN
NnzSnp,2497.126465,1422.728394,asv_000544,LN
SigmaSq,3.8e-05,5.2e-05,asv_000544,LN
S,-0.023964,0.619675,asv_000544,LN
ResVar,0.012705,0.004223,asv_000544,LN
GenVar,0.009243,0.004292,asv_000544,LN
hsq,0.419628,0.188078,asv_000544,LN
Pi,0.002334,0.001831,asv_000549,LN
NnzSnp,1747.408447,1370.907227,asv_000549,LN
SigmaSq,1e-05,1.6e-05,asv_000549,LN
S,-0.982497,0.531814,asv_000549,LN
ResVar,0.004227,0.002598,asv_000549,LN
GenVar,0.009674,0.002715,asv_000549,LN
hsq,0.694876,0.187188,asv_000549,LN
Pi,0.002918,0.002,asv_000551,LN
NnzSnp,2185.217773,1498.231567,asv_000551,LN
SigmaSq,3.3e-05,5.1e-05,asv_000551,LN
S,-0.113833,0.693752,asv_000551,LN
ResVar,0.017044,0.005856,asv_000551,LN
GenVar,0.008927,0.005805,asv_000551,LN
hsq,0.342537,0.218216,asv_000551,LN
Pi,0.003996,0.002239,asv_000552,LN
NnzSnp,2991.997803,1676.848755,asv_000552,LN
SigmaSq,7.5e-05,0.000107,asv_000552,LN
S,-0.033265,0.57831,asv_000552,LN
ResVar,0.010901,0.004868,asv_000552,LN
GenVar,0.02051,0.005272,asv_000552,LN
hsq,0.651429,0.156184,asv_000552,LN
Pi,0.003565,0.002338,asv_000570,LN
NnzSnp,2670.010742,1750.568359,asv_000570,LN
SigmaSq,2e-06,3e-06,asv_000570,LN
S,0.002927,0.608635,asv_000570,LN
ResVar,0.000871,0.000263,asv_000570,LN
GenVar,0.000408,0.00026,asv_000570,LN
hsq,0.317883,0.197658,asv_000570,LN
Pi,0.002147,0.001779,asv_000575,LN
NnzSnp,1607.764771,1332.525879,asv_000575,LN
SigmaSq,2e-06,4e-06,asv_000575,LN
S,-0.201016,0.682965,asv_000575,LN
ResVar,0.002089,0.000528,asv_000575,LN
GenVar,0.000631,0.000502,asv_000575,LN
hsq,0.231297,0.180297,asv_000575,LN
Pi,0.003571,0.002269,asv_000596,LN
NnzSnp,2673.860352,1698.799316,asv_000596,LN
SigmaSq,4.3e-05,7.3e-05,asv_000596,LN
S,-0.343079,0.627444,asv_000596,LN
ResVar,0.021416,0.008554,asv_000596,LN
GenVar,0.018181,0.00878,asv_000596,LN
hsq,0.457238,0.213957,asv_000596,LN
Pi,0.00173,0.001666,asv_000629,LN
NnzSnp,1294.912109,1248.136719,asv_000629,LN
SigmaSq,4e-06,6e-06,asv_000629,LN
S,0.034334,0.859348,asv_000629,LN
ResVar,0.019805,0.002964,asv_000629,LN
GenVar,0.001216,0.002226,asv_000629,LN
hsq,0.057817,0.104451,asv_000629,LN
Pi,0.001362,0.001431,asv_000669,LN
NnzSnp,1019.307129,1071.369751,asv_000669,LN
SigmaSq,0,0,asv_000669,LN
S,0.226648,0.874828,asv_000669,LN
ResVar,0.000166,2.1e-05,asv_000669,LN
GenVar,6e-06,1.3e-05,asv_000669,LN
hsq,0.03438,0.076868,asv_000669,LN
Pi,0.003118,0.002274,asv_000672,LN
NnzSnp,2335.09668,1703.217041,asv_000672,LN
SigmaSq,2.4e-05,4.5e-05,asv_000672,LN
S,0.095498,0.67155,asv_000672,LN
ResVar,0.012941,0.003812,asv_000672,LN
GenVar,0.004839,0.003703,asv_000672,LN
hsq,0.27121,0.203414,asv_000672,LN
Pi,0.001341,0.001332,asv_000711,LN
NnzSnp,1004.056091,998.148804,asv_000711,LN
SigmaSq,1e-06,2e-06,asv_000711,LN
S,-0.105476,1.049114,asv_000711,LN
ResVar,0.005005,0.001273,asv_000711,LN
GenVar,0.000674,0.001172,asv_000711,LN
hsq,0.118675,0.205227,asv_000711,LN
Pi,0.00327,0.002057,asv_000719,LN
NnzSnp,2448.330078,1540.079834,asv_000719,LN
SigmaSq,2.4e-05,3.5e-05,asv_000719,LN
S,-0.715583,0.414106,asv_000719,LN
ResVar,0.004729,0.002408,asv_000719,LN
GenVar,0.017426,0.002704,asv_000719,LN
hsq,0.785873,0.10946,asv_000719,LN
Pi,0.001456,0.001442,asv_000860,LN
NnzSnp,1090.240356,1079.612061,asv_000860,LN
SigmaSq,1e-06,1e-06,asv_000860,LN
S,0.20045,0.834969,asv_000860,LN
ResVar,0.00258,0.000309,asv_000860,LN
GenVar,0.000102,0.000172,asv_000860,LN
hsq,0.03809,0.063845,asv_000860,LN
Pi,0.003534,0.002194,asv_000862,LN
NnzSnp,2647.129883,1642.658203,asv_000862,LN
SigmaSq,0.000122,0.000171,asv_000862,LN
S,-0.121761,0.578545,asv_000862,LN
ResVar,0.017455,0.007592,asv_000862,LN
GenVar,0.033052,0.00826,asv_000862,LN
hsq,0.652903,0.151635,asv_000862,LN
Pi,0.001606,0.001658,asv_000896,LN
NnzSnp,1202.176514,1241.913086,asv_000896,LN
SigmaSq,0,0,asv_000896,LN
S,0.089113,0.850216,asv_000896,LN
ResVar,9.9e-05,1.3e-05,asv_000896,LN
GenVar,5e-06,9e-06,asv_000896,LN
hsq,0.05059,0.085577,asv_000896,LN
Pi,0.001416,0.001515,asv_000906,LN
NnzSnp,1059.992676,1133.959595,asv_000906,LN
SigmaSq,7e-06,8e-06,asv_000906,LN
S,0.039915,0.861882,asv_000906,LN
ResVar,0.02122,0.003252,asv_000906,LN
GenVar,0.001556,0.002493,asv_000906,LN
hsq,0.068252,0.108289,asv_000906,LN
Pi,0.00228,0.001995,asv_000920,LN
NnzSnp,1706.853638,1494.235718,asv_000920,LN
SigmaSq,2e-05,3.6e-05,asv_000920,LN
S,-0.389343,0.917949,asv_000920,LN
ResVar,0.02013,0.008815,asv_000920,LN
GenVar,0.010212,0.008684,asv_000920,LN
hsq,0.335882,0.282275,asv_000920,LN
Pi,0.003295,0.002338,asv_000986,LN
NnzSnp,2467.104736,1750.614258,asv_000986,LN
SigmaSq,1.1e-05,1.9e-05,asv_000986,LN
S,-0.450057,0.629036,asv_000986,LN
ResVar,0.006437,0.002913,asv_000986,LN
GenVar,0.006076,0.002991,asv_000986,LN
hsq,0.483534,0.231532,asv_000986,LN
Pi,0.003699,0.002251,asv_001001,LN
NnzSnp,2770.141846,1685.734497,asv_001001,LN
SigmaSq,3.7e-05,5.2e-05,asv_001001,LN
S,0.000629,0.520316,asv_001001,LN
ResVar,0.016915,0.004952,asv_001001,LN
GenVar,0.00991,0.004955,asv_001001,LN
hsq,0.368102,0.177871,asv_001001,LN
Pi,0.003118,0.002021,asv_001011,LN
NnzSnp,2334.502441,1513.106201,asv_001011,LN
SigmaSq,1.3e-05,2e-05,asv_001011,LN
S,-0.359183,0.644067,asv_001011,LN
ResVar,0.010706,0.00324,asv_001011,LN
GenVar,0.005576,0.003211,asv_001011,LN
hsq,0.34124,0.191474,asv_001011,LN
Pi,0.001246,0.00125,asv_001057,LN
NnzSnp,932.143616,935.753723,asv_001057,LN
SigmaSq,5e-06,6e-06,asv_001057,LN
S,0.304179,0.858689,asv_001057,LN
ResVar,0.009716,0.001433,asv_001057,LN
GenVar,0.000644,0.001071,asv_001057,LN
hsq,0.062075,0.102138,asv_001057,LN
Pi,0.001756,0.00174,asv_001063,LN
NnzSnp,1314.395142,1302.868042,asv_001063,LN
SigmaSq,4e-06,6e-06,asv_001063,LN
S,-0.167128,0.869857,asv_001063,LN
ResVar,0.009551,0.002485,asv_001063,LN
GenVar,0.001641,0.002306,asv_001063,LN
hsq,0.14645,0.204136,asv_001063,LN
Pi,0.001305,0.001294,asv_001073,LN
NnzSnp,976.835571,969.485901,asv_001073,LN
SigmaSq,0,0,asv_001073,LN
S,-0.155227,1.058054,asv_001073,LN
ResVar,0.000131,3.6e-05,asv_001073,LN
GenVar,2.2e-05,3.4e-05,asv_001073,LN
hsq,0.145988,0.218276,asv_001073,LN
Pi,0.002046,0.001849,asv_001085,LN
NnzSnp,1531.975708,1384.757935,asv_001085,LN
SigmaSq,1e-05,1.8e-05,asv_001085,LN
S,-0.229821,0.761255,asv_001085,LN
ResVar,0.014799,0.003921,asv_001085,LN
GenVar,0.00353,0.003684,asv_001085,LN
hsq,0.192258,0.198003,asv_001085,LN
Pi,9.6e-05,9.6e-05,asv_001167,LN
NnzSnp,71.2024,71.639877,asv_001167,LN
SigmaSq,0,0,asv_001167,LN
S,-2.320408,0.346052,asv_001167,LN
ResVar,3.6e-05,2.2e-05,asv_001167,LN
GenVar,0.000195,2.4e-05,asv_001167,LN
hsq,0.842785,0.093151,asv_001167,LN
Pi,0.001645,0.001511,asv_001169,LN
NnzSnp,1231.30835,1131.477051,asv_001169,LN
SigmaSq,1e-06,1e-06,asv_001169,LN
S,-0.097186,0.911302,asv_001169,LN
ResVar,0.002868,0.000623,asv_001169,LN
GenVar,0.000372,0.000555,asv_001169,LN
hsq,0.114778,0.169503,asv_001169,LN
Pi,0.001743,0.001621,asv_001183,LN
NnzSnp,1304.726807,1214.141724,asv_001183,LN
SigmaSq,1e-06,2e-06,asv_001183,LN
S,0.056308,0.901637,asv_001183,LN
ResVar,0.002693,0.000559,asv_001183,LN
GenVar,0.000314,0.00049,asv_001183,LN
hsq,0.104568,0.161858,asv_001183,LN
Pi,0.002694,0.00221,asv_001204,LN
NnzSnp,2017.435791,1655.650146,asv_001204,LN
SigmaSq,3e-06,6e-06,asv_001204,LN
S,-0.030977,0.727293,asv_001204,LN
ResVar,0.003801,0.000842,asv_001204,LN
GenVar,0.000779,0.000762,asv_001204,LN
hsq,0.169868,0.163448,asv_001204,LN
Pi,0.00177,0.001745,asv_001207,LN
NnzSnp,1324.746216,1306.434937,asv_001207,LN
SigmaSq,1e-06,2e-06,asv_001207,LN
S,-0.097275,0.936231,asv_001207,LN
ResVar,0.006025,0.001509,asv_001207,LN
GenVar,0.000836,0.001398,asv_001207,LN
hsq,0.121494,0.201703,asv_001207,LN
Pi,0.001651,0.001531,asv_001232,LN
NnzSnp,1236.292725,1146.267212,asv_001232,LN
SigmaSq,0,1e-06,asv_001232,LN
S,0.098358,0.838085,asv_001232,LN
ResVar,0.000687,0.00012,asv_001232,LN
GenVar,6e-05,9.9e-05,asv_001232,LN
hsq,0.080091,0.131607,asv_001232,LN
Pi,0.002721,0.002002,asv_001234,LN
NnzSnp,2037.322388,1498.458496,asv_001234,LN
SigmaSq,1e-05,1.9e-05,asv_001234,LN
S,-0.347048,0.694762,asv_001234,LN
ResVar,0.009026,0.003379,asv_001234,LN
GenVar,0.00437,0.003325,asv_001234,LN
hsq,0.32536,0.243707,asv_001234,LN
Pi,0.001596,0.001535,asv_001244,LN
NnzSnp,1194.325439,1149.220337,asv_001244,LN
SigmaSq,0,0,asv_001244,LN
S,-0.142615,0.894405,asv_001244,LN
ResVar,0.000597,0.000113,asv_001244,LN
GenVar,5.3e-05,9.5e-05,asv_001244,LN
hsq,0.081622,0.146188,asv_001244,LN
Pi,0.003672,0.002363,asv_001255,LN
NnzSnp,2750.105225,1769.746216,asv_001255,LN
SigmaSq,2.5e-05,3.1e-05,asv_001255,LN
S,0.042268,0.603283,asv_001255,LN
ResVar,0.008062,0.002658,asv_001255,LN
GenVar,0.006075,0.002712,asv_001255,LN
hsq,0.428202,0.184217,asv_001255,LN
Pi,0.001742,0.001723,asv_001292,LN
NnzSnp,1304.142456,1290.755005,asv_001292,LN
SigmaSq,1.9e-05,3.1e-05,asv_001292,LN
S,-0.047375,0.851197,asv_001292,LN
ResVar,0.060339,0.013509,asv_001292,LN
GenVar,0.007605,0.012114,asv_001292,LN
hsq,0.111917,0.176922,asv_001292,LN
Pi,0.002738,0.002074,asv_001294,LN
NnzSnp,2049.914062,1552.901489,asv_001294,LN
SigmaSq,1e-05,1.7e-05,asv_001294,LN
S,-0.615787,0.635986,asv_001294,LN
ResVar,0.010241,0.004035,asv_001294,LN
GenVar,0.006575,0.004012,asv_001294,LN
hsq,0.390074,0.233288,asv_001294,LN
Pi,0.003509,0.002127,asv_001303,LN
NnzSnp,2627.892578,1593.204102,asv_001303,LN
SigmaSq,2e-06,3e-06,asv_001303,LN
S,0.008503,0.543297,asv_001303,LN
ResVar,0.000466,0.000182,asv_001303,LN
GenVar,0.000581,0.000193,asv_001303,LN
hsq,0.552764,0.174108,asv_001303,LN
Pi,0.001467,0.00154,asv_001312,LN
NnzSnp,1098.36853,1153.07605,asv_001312,LN
SigmaSq,2e-06,2e-06,asv_001312,LN
S,0.243917,0.784288,asv_001312,LN
ResVar,0.006342,0.00076,asv_001312,LN
GenVar,0.000268,0.000418,asv_001312,LN
hsq,0.040501,0.062567,asv_001312,LN
Pi,0.003271,0.002234,asv_001319,LN
NnzSnp,2449.360352,1673.451416,asv_001319,LN
SigmaSq,6e-06,1.2e-05,asv_001319,LN
S,-0.432932,0.710592,asv_001319,LN
ResVar,0.002104,0.001158,asv_001319,LN
GenVar,0.00254,0.001174,asv_001319,LN
hsq,0.545758,0.246354,asv_001319,LN
Pi,0.001978,0.001765,asv_001323,LN
NnzSnp,1480.504028,1321.630005,asv_001323,LN
SigmaSq,2.7e-05,6.4e-05,asv_001323,LN
S,-0.680171,0.811955,asv_001323,LN
ResVar,0.01838,0.008358,asv_001323,LN
GenVar,0.012449,0.008309,asv_001323,LN
hsq,0.402931,0.265019,asv_001323,LN
Pi,0.00139,0.001442,asv_001347,LN
NnzSnp,1040.592407,1080.502319,asv_001347,LN
SigmaSq,0,0,asv_001347,LN
S,0.209323,0.906787,asv_001347,LN
ResVar,6.1e-05,7e-06,asv_001347,LN
GenVar,2e-06,4e-06,asv_001347,LN
hsq,0.02678,0.058772,asv_001347,LN
Pi,0.001198,0.00124,asv_001370,LN
NnzSnp,896.667908,928.595215,asv_001370,LN
SigmaSq,0,0,asv_001370,LN
S,0.109668,0.827085,asv_001370,LN
ResVar,0.000298,3.5e-05,asv_001370,LN
GenVar,1e-05,1.8e-05,asv_001370,LN
hsq,0.031743,0.05842,asv_001370,LN
Pi,0.002179,0.001865,asv_001416,LN
NnzSnp,1631.815308,1397.101807,asv_001416,LN
SigmaSq,4e-06,8e-06,asv_001416,LN
S,-0.715563,0.733798,asv_001416,LN
ResVar,0.003105,0.001663,asv_001416,LN
GenVar,0.002722,0.001666,asv_001416,LN
hsq,0.465986,0.281068,asv_001416,LN
Pi,0.001699,0.001815,asv_001444,LN
NnzSnp,1271.849609,1359.361938,asv_001444,LN
SigmaSq,1e-06,1e-06,asv_001444,LN
S,0.160269,0.757697,asv_001444,LN
ResVar,0.00282,0.000334,asv_001444,LN
GenVar,0.000106,0.000178,asv_001444,LN
hsq,0.036349,0.060561,asv_001444,LN
Pi,0.001531,0.001618,asv_001446,LN
NnzSnp,1146.40271,1211.748169,asv_001446,LN
SigmaSq,0,0,asv_001446,LN
S,-0.027605,0.859298,asv_001446,LN
ResVar,0.000358,5.4e-05,asv_001446,LN
GenVar,2.2e-05,4.1e-05,asv_001446,LN
hsq,0.058992,0.105902,asv_001446,LN
Pi,0.001517,0.001467,asv_001461,LN
NnzSnp,1135.198242,1098.401123,asv_001461,LN
SigmaSq,1e-06,1e-06,asv_001461,LN
S,-0.061719,0.917108,asv_001461,LN
ResVar,0.001498,0.000362,asv_001461,LN
GenVar,0.00022,0.000329,asv_001461,LN
hsq,0.127939,0.190756,asv_001461,LN
Pi,0.001644,0.001634,asv_001499,LN
NnzSnp,1231.001587,1223.149414,asv_001499,LN
SigmaSq,0,0,asv_001499,LN
S,0.076721,0.834918,asv_001499,LN
ResVar,0.000274,5e-05,asv_001499,LN
GenVar,2.7e-05,4.2e-05,asv_001499,LN
hsq,0.089283,0.139612,asv_001499,LN
Pi,0.000115,0.000515,asv_001529,LN
NnzSnp,85.276497,385.196777,asv_001529,LN
SigmaSq,6e-06,1.4e-05,asv_001529,LN
S,-2.340133,0.388584,asv_001529,LN
ResVar,0.001032,0.001111,asv_001529,LN
GenVar,0.009821,0.001176,asv_001529,LN
hsq,0.904881,0.101564,asv_001529,LN
Pi,0.001764,0.001516,asv_001532,LN
NnzSnp,1320.71521,1135.455566,asv_001532,LN
SigmaSq,1e-06,1e-06,asv_001532,LN
S,-0.583432,0.842596,asv_001532,LN
ResVar,0.002553,0.000999,asv_001532,LN
GenVar,0.000932,0.00097,asv_001532,LN
hsq,0.267237,0.27605,asv_001532,LN
Pi,0.001357,0.001391,asv_001572,LN
NnzSnp,1015.662781,1041.722656,asv_001572,LN
SigmaSq,0,0,asv_001572,LN
S,0.104038,0.842355,asv_001572,LN
ResVar,0.000892,0.00013,asv_001572,LN
GenVar,4.8e-05,9.4e-05,asv_001572,LN
hsq,0.051072,0.099829,asv_001572,LN
Pi,0.001415,0.001416,asv_001582,LN
NnzSnp,1059.636841,1061.044067,asv_001582,LN
SigmaSq,2e-06,2e-06,asv_001582,LN
S,0.039711,0.808873,asv_001582,LN
ResVar,0.007345,0.000963,asv_001582,LN
GenVar,0.00035,0.000619,asv_001582,LN
hsq,0.045546,0.079857,asv_001582,LN
Pi,0.002917,0.002256,asv_001657,LN
NnzSnp,2184.459473,1689.781006,asv_001657,LN
SigmaSq,8e-06,1.5e-05,asv_001657,LN
S,-0.716603,0.682175,asv_001657,LN
ResVar,0.004023,0.00266,asv_001657,LN
GenVar,0.00617,0.002702,asv_001657,LN
hsq,0.604204,0.258984,asv_001657,LN
Pi,0.002244,0.00192,asv_001660,LN
NnzSnp,1680.601562,1438.133667,asv_001660,LN
SigmaSq,1e-06,1e-06,asv_001660,LN
S,-0.114883,0.767109,asv_001660,LN
ResVar,0.00182,0.000415,asv_001660,LN
GenVar,3e-04,0.000374,asv_001660,LN
hsq,0.141518,0.174522,asv_001660,LN
Pi,0.002143,0.001726,asv_001667,LN
NnzSnp,1604.424316,1292.970215,asv_001667,LN
SigmaSq,4e-06,8e-06,asv_001667,LN
S,0.042802,0.717431,asv_001667,LN
ResVar,0.00678,0.001136,asv_001667,LN
GenVar,0.000783,0.000916,asv_001667,LN
hsq,0.103555,0.119347,asv_001667,LN
Pi,0.002722,0.002138,asv_001749,LN
NnzSnp,2037.743652,1601.011353,asv_001749,LN
SigmaSq,7e-06,1.3e-05,asv_001749,LN
S,-0.253574,0.847288,asv_001749,LN
ResVar,0.008759,0.003563,asv_001749,LN
GenVar,0.003881,0.003491,asv_001749,LN
hsq,0.306507,0.272652,asv_001749,LN
Pi,0.003003,0.001914,asv_001772,LN
NnzSnp,2248.908447,1432.676025,asv_001772,LN
SigmaSq,2.1e-05,4e-05,asv_001772,LN
S,-0.468558,0.487661,asv_001772,LN
ResVar,0.014786,0.005094,asv_001772,LN
GenVar,0.009588,0.005132,asv_001772,LN
hsq,0.391888,0.203972,asv_001772,LN
Pi,0.001766,0.001711,asv_001806,LN
NnzSnp,1321.947754,1281.580078,asv_001806,LN
SigmaSq,0,0,asv_001806,LN
S,-0.179601,0.800772,asv_001806,LN
ResVar,5.9e-05,1.2e-05,asv_001806,LN
GenVar,8e-06,1.1e-05,asv_001806,LN
hsq,0.117091,0.161793,asv_001806,LN
Pi,0.001389,0.001349,asv_001834,LN
NnzSnp,1039.781494,1010.503845,asv_001834,LN
SigmaSq,0,0,asv_001834,LN
S,0.205653,0.941731,asv_001834,LN
ResVar,0.000538,8.2e-05,asv_001834,LN
GenVar,3.2e-05,6.3e-05,asv_001834,LN
hsq,0.056649,0.109484,asv_001834,LN
Pi,0.00085,0.001317,asv_001875,LN
NnzSnp,635.691772,986.639282,asv_001875,LN
SigmaSq,0,1e-06,asv_001875,LN
S,-1.32041,1.042297,asv_001875,LN
ResVar,0.000174,7.5e-05,asv_001875,LN
GenVar,0.000126,7.6e-05,asv_001875,LN
hsq,0.418172,0.246555,asv_001875,LN
Pi,0.000188,0.000698,asv_001888,LN
NnzSnp,140.113754,522.46698,asv_001888,LN
SigmaSq,2e-06,2e-06,asv_001888,LN
S,-2.366946,0.658302,asv_001888,LN
ResVar,0.000925,0.001983,asv_001888,LN
GenVar,0.008767,0.002001,asv_001888,LN
hsq,0.904302,0.204365,asv_001888,LN
Pi,0.001476,0.001441,asv_001948,LN
NnzSnp,1104.697021,1078.561523,asv_001948,LN
SigmaSq,0,1e-06,asv_001948,LN
S,-0.062415,0.942386,asv_001948,LN
ResVar,0.001432,0.000288,asv_001948,LN
GenVar,0.000142,0.000249,asv_001948,LN
hsq,0.090392,0.157468,asv_001948,LN
Pi,0.000311,0.001044,asv_001978,LN
NnzSnp,231.890152,781.322815,asv_001978,LN
SigmaSq,2e-06,8e-06,asv_001978,LN
S,-2.178849,0.895913,asv_001978,LN
ResVar,0.000526,0.001251,asv_001978,LN
GenVar,0.004029,0.00126,asv_001978,LN
hsq,0.883842,0.275313,asv_001978,LN
Pi,0.002068,0.001781,asv_001993,LN
NnzSnp,1548.415039,1333.550293,asv_001993,LN
SigmaSq,2e-06,5e-06,asv_001993,LN
S,0.090549,0.770318,asv_001993,LN
ResVar,0.004704,0.000837,asv_001993,LN
GenVar,0.000557,0.000699,asv_001993,LN
hsq,0.105804,0.131442,asv_001993,LN
Pi,0.00281,0.00204,asv_002018,LN
NnzSnp,2104.675781,1528.445068,asv_002018,LN
SigmaSq,1.4e-05,3.5e-05,asv_002018,LN
S,-0.50867,0.701093,asv_002018,LN
ResVar,0.018582,0.008421,asv_002018,LN
GenVar,0.009711,0.008295,asv_002018,LN
hsq,0.342628,0.289328,asv_002018,LN
Pi,0.001177,0.001326,asv_002138,LN
NnzSnp,880.984924,992.908691,asv_002138,LN
SigmaSq,0,0,asv_002138,LN
S,-0.045268,1.03681,asv_002138,LN
ResVar,0.000416,7.9e-05,asv_002138,LN
GenVar,2.7e-05,6.7e-05,asv_002138,LN
hsq,0.059875,0.150316,asv_002138,LN
Pi,0.001153,0.001373,asv_002172,LN
NnzSnp,863.123291,1028.517944,asv_002172,LN
SigmaSq,7e-06,1.4e-05,asv_002172,LN
S,-0.419259,1.271082,asv_002172,LN
