Type,value,sd,trait,treatment
NnzSnp,2569.684082,2083.607666,asv_000077,HN
SigmaSq,1.1e-05,1.4e-05,asv_000077,HN
S,-0.471174,0.853992,asv_000077,HN
ResVar,0.031705,0.012236,asv_000077,HN
GenVar,0.013934,0.011994,asv_000077,HN
hsq,0.304663,0.258993,asv_000077,HN
Pi,0.002308,0.002225,asv_000095,HN
NnzSnp,1728.4104,1666.682373,asv_000095,HN
SigmaSq,4e-06,6e-06,asv_000095,HN
S,-0.263872,0.897722,asv_000095,HN
ResVar,0.032869,0.006906,asv_000095,HN
GenVar,0.003946,0.006117,asv_000095,HN
hsq,0.107155,0.164871,asv_000095,HN
Pi,0.001893,0.001933,asv_000112,HN
NnzSnp,1417.187622,1447.986084,asv_000112,HN
SigmaSq,1e-06,2e-06,asv_000112,HN
S,0.012317,0.838212,asv_000112,HN
ResVar,0.004738,0.000661,asv_000112,HN
GenVar,0.000253,0.000467,asv_000112,HN
hsq,0.05065,0.092882,asv_000112,HN
Pi,0.0032,0.002425,asv_000155,HN
NnzSnp,2395.967041,1815.703247,asv_000155,HN
SigmaSq,1e-06,1e-06,asv_000155,HN
S,-0.79528,0.697914,asv_000155,HN
ResVar,0.001364,0.000716,asv_000155,HN
GenVar,0.001047,0.000715,asv_000155,HN
hsq,0.433277,0.292297,asv_000155,HN
Pi,0.002065,0.001967,asv_000160,HN
NnzSnp,1545.953003,1473.468506,asv_000160,HN
SigmaSq,1e-06,1e-06,asv_000160,HN
S,0.084943,0.898997,asv_000160,HN
ResVar,0.00428,0.000689,asv_000160,HN
GenVar,0.000311,0.00055,asv_000160,HN
hsq,0.067703,0.118299,asv_000160,HN
Pi,0.001922,0.001906,asv_000162,HN
NnzSnp,1438.745483,1427.581665,asv_000162,HN
SigmaSq,3e-06,4e-06,asv_000162,HN
S,0.210832,0.882142,asv_000162,HN
ResVar,0.013882,0.001816,asv_000162,HN
GenVar,0.000689,0.001201,asv_000162,HN
hsq,0.047303,0.081628,asv_000162,HN
Pi,0.003632,0.003086,asv_000183,HN
NnzSnp,2720.091064,2311.280273,asv_000183,HN
SigmaSq,1.4e-05,3.7e-05,asv_000183,HN
S,-0.091891,0.705239,asv_000183,HN
ResVar,0.025255,0.006161,asv_000183,HN
GenVar,0.005536,0.005671,asv_000183,HN
hsq,0.17978,0.181806,asv_000183,HN
Pi,0.001987,0.001878,asv_000189,HN
NnzSnp,1487.847656,1406.099365,asv_000189,HN
SigmaSq,2e-06,3e-06,asv_000189,HN
S,-0.010827,0.826661,asv_000189,HN
ResVar,0.007842,0.001297,asv_000189,HN
GenVar,0.000617,0.00103,asv_000189,HN
hsq,0.073036,0.121124,asv_000189,HN
Pi,0.002971,0.002551,asv_000191,HN
NnzSnp,2224.325928,1910.875732,asv_000191,HN
SigmaSq,8e-06,1.2e-05,asv_000191,HN
S,-0.067574,0.729036,asv_000191,HN
ResVar,0.021991,0.00414,asv_000191,HN
GenVar,0.003247,0.003606,asv_000191,HN
hsq,0.128392,0.140514,asv_000191,HN
Pi,0.002653,0.002382,asv_000196,HN
NnzSnp,1987.141968,1783.902222,asv_000196,HN
SigmaSq,1e-06,3e-06,asv_000196,HN
S,-0.011812,0.741882,asv_000196,HN
ResVar,0.003491,0.000654,asv_000196,HN
GenVar,0.000458,0.000557,asv_000196,HN
hsq,0.116036,0.139797,asv_000196,HN
Pi,0.002591,0.002394,asv_000217,HN
NnzSnp,1940.316772,1793.307373,asv_000217,HN
SigmaSq,1e-06,1e-06,asv_000217,HN
S,-0.295103,0.814283,asv_000217,HN
ResVar,0.005119,0.001181,asv_000217,HN
GenVar,0.000731,0.00107,asv_000217,HN
hsq,0.125025,0.181459,asv_000217,HN
Pi,0.00261,0.002685,asv_000237,HN
NnzSnp,1954.060791,2010.822266,asv_000237,HN
SigmaSq,6e-06,1e-05,asv_000237,HN
S,-0.069901,0.802249,asv_000237,HN
ResVar,0.022733,0.004725,asv_000237,HN
GenVar,0.002879,0.004171,asv_000237,HN
hsq,0.11242,0.161651,asv_000237,HN
Pi,0.001784,0.002203,asv_000246,HN
NnzSnp,1335.362305,1649.852295,asv_000246,HN
SigmaSq,5e-06,1e-05,asv_000246,HN
S,0.309541,0.814621,asv_000246,HN
ResVar,0.032955,0.00351,asv_000246,HN
GenVar,0.000728,0.001269,asv_000246,HN
hsq,0.021592,0.03712,asv_000246,HN
Pi,0.002731,0.002314,asv_000251,HN
NnzSnp,2045.552246,1733.345215,asv_000251,HN
SigmaSq,3e-06,7e-06,asv_000251,HN
