sampleID DTA_BLUP DTS_BLUP ASI_BLUP LAL_BLUP LAU_BLUP LW_BLUP LL_BLUP PH_BLUP EH_BLUP EP_BLUP TBN_BLUP TL_BLUP ULN_BLUP TLN_HN2016 SD_LF2016
10762 69.68 75.42 0.67 163.49 21.46 10.78 78.15 231.7 78.41 33.89 3.03 33.48 5.94 17.8 22.08
10764 67.65 74.95 1.4 165.5 20.99 9.07 74.34 219.67 70.71 32.11 4.82 37.37 5.59 16.8 18.06
10765 64.34 71.01 0.52 164.94 18.82 8.75 64.98 174.94 62.83 35.21 7.44 27.69 5.3 15.2 23.61
10766 68.85 75.42 0.52 158.35 24.26 10.44 53.34 165.47 68.75 41.91 13.78 30.39 5.52 15.5 20.43
10767 69.62 78.43 2.43 156.72 31.84 9.73 68.27 217.14 93.77 42.27 8.08 29.38 5.4 15.8 24.46
10768 63.54 69.15 1.7 159.93 20.31 8.36 65.99 176.57 57.76 32.74 3.93 25.96 5.36 16.3 16.9
10769 56.05 59.87 1.11 150.79 27.99 7.14 63.44 141.95 38.52 26.9 5.41 24.41 5.12 13.8 14.54
10770 61.01 65.44 1.11 142.26 39.74 8.18 61.04 181.09 59.83 33.25 4.97 29.03 5.46 15 18.68
10771 62.03 65.67 0.96 147.84 35.07 8.63 72.3 188.47 61.01 32.69 6.83 31.88 5.72 15.8 17.15
10772 60.63 66.83 1.99 159.12 24.01 8.11 75.59 194.36 60.22 31.23 9.14 32.22 6.01 16 17.57
10773 65.44 71.94 1.26 154.73 24.17 9.22 71.89 183.25 68.07 37.38 8.02 34.6 4.74 14.5 19.2
10774 65.35 74.26 2.14 155.49 34.67 11.45 61.94 221.98 68.33 30.74 4.68 32.28 4.43 14.5 21.68
10775 66.76 77.04 3.31 157.7 27.44 8.12 73.89 194.25 48.39 25.16 7.6 31.8 6.37 16 21.53
10777 69.2 76.81 1.11 165.79 15.39 9.13 67.16 159.07 64.47 40.93 9.11 30.51 5.35 15.6 20.25
10779 71.45 77.97 1.26 155.35 26.65 7.52 69.02 198.97 93.67 46.41 10.22 30.84 4.41 16 19.39
10780 70.61 -999 -999 154.81 29.17 9.85 72.52 181.03 73.32 40.74 13.71 33.33 5.46 19.8 -999
10784 64.09 71.7 1.84 160 19.32 9.07 72.25 199.05 75.49 37.97 6.74 32.49 5.03 16 21.49
